ds,yhat,yhat_lower,yhat_upper
2025-03-31,138.9489778724439,114.24276754253586,161.89396831562632
2025-04-01,136.11268558452957,113.78438846219865,161.34532266427175
2025-04-02,136.31991713201427,113.64284887023155,160.88576807160499
2025-04-03,136.7410473552309,113.23172419167005,160.42991011639086
2025-04-04,136.62045332395212,111.79517079589719,159.6456362460657
2025-04-05,137.050652697199,114.20713678210551,159.84991614415594
2025-04-06,137.6299092460488,113.83384778900779,160.81703425172023
2025-04-07,137.6361838745072,114.34647884942528,161.83682208792024
2025-04-08,135.38837503158496,111.9024817954172,161.4757173088888
2025-04-09,136.18409002406253,113.92720050040435,160.5138729972586
2025-04-10,136.60522024727553,113.8994794126524,161.46584875897395
2025-04-11,136.48462621599896,113.447620508901,160.58859587235796
2025-04-12,136.91482558924417,112.14004481271972,160.75593807670475
2025-04-13,137.49408213809505,113.8825501175818,162.881943670588
2025-04-14,137.88274957106734,114.4625971215762,161.18853192437874
2025-04-15,136.01733353266005,113.47014568793404,160.20361566881127
2025-04-16,137.1954413296483,115.29350605721768,160.28360293013017
2025-04-17,137.99896435738015,114.74552920679504,161.12534323236986
2025-04-18,138.26076313061935,114.78441977406334,160.73803166940417
2025-04-19,139.07335530838398,116.28299280740428,163.6728143253694
2025-04-20,140.03500466174637,116.38385249028788,163.99184579829162
2025-04-21,140.423672094717,114.6524945308153,162.3589938247828
2025-04-22,138.55825605631438,114.55211651655908,160.71788834120588
2025-04-23,139.73636385330158,117.21734197033506,163.9711112392343
2025-04-24,140.53988688103212,117.99558269529325,164.17900782516355
2025-04-25,140.80168565426973,116.89190041415088,164.9028903147322
2025-04-26,141.61428317841546,117.6705457208976,165.093403003352
2025-04-27,142.575937878158,118.28869859918046,165.8921129913853
2025-04-28,142.96461065751046,119.3736792943359,167.21646096269203
2025-04-29,141.09919996549013,116.50961097930967,164.42132940088104
2025-04-30,142.27731310885778,118.3201888047699,165.30332252912015
2025-05-01,143.08084148297164,120.04855651244092,165.28163000971477
2025-05-02,143.34264560259143,120.53612032557538,166.77820484220143
2025-05-03,144.1552431267349,120.87663333134034,167.92895557658795
